cn,ID
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Propionibacteriaceae..g__Propionibacterium..s__,V68
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Propionibacteriaceae..g__Propionibacterium..s__acnes,V69
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Propionibacteriaceae..g__Propionibacterium..s__granulosum,V70
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Pseudonocardiaceae..g__Actinomycetospora..s__,V71
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Pseudonocardiaceae..g__Amycolatopsis..s__,V72
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Pseudonocardiaceae..g__Pseudonocardia..s__,V73
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Sporichthyaceae..g__..s__,V74
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Streptomycetaceae,V75
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Streptomycetaceae..g__..s__,V76
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Actinomycetales..f__Yaniellaceae..g__Yaniella..s__,V77
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Bifidobacteriales..f__Bifidobacteriaceae,V78
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Bifidobacteriales..f__Bifidobacteriaceae..g__..s__,V79
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Bifidobacteriales..f__Bifidobacteriaceae..g__Bifidobacterium,V80
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Bifidobacteriales..f__Bifidobacteriaceae..g__Bifidobacterium..s__,V81
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Bifidobacteriales..f__Bifidobacteriaceae..g__Bifidobacterium..s__longum,V82
k__Bacteria..p__Actinobacteria..c__Actinobacteria..o__Bifidobacteriales..f__Bifidobacteriaceae..g__Bifidobacterium..s__pseudolongum,V83
k__Bacteria..p__Actinobacteria..c__Coriobacteriia..o__Coriobacteriales..f__Coriobacteriaceae..g__..s__,V84
k__Bacteria..p__Actinobacteria..c__Coriobacteriia..o__Coriobacteriales..f__Coriobacteriaceae..g__Atopobium,V85
k__Bacteria..p__Actinobacteria..c__Coriobacteriia..o__Coriobacteriales..f__Coriobacteriaceae..g__Atopobium..s__,V86
k__Bacteria..p__Actinobacteria..c__Thermoleophilia..o__Solirubrobacterales..f__Solirubrobacteraceae..g__..s__,V87
k__Bacteria..p__Actinobacteria..c__Thermoleophilia..o__Solirubrobacterales..f__Solirubrobacteraceae..g__Solirubrobacter..s__,V88
k__Bacteria..p__Bacteroidetes..c__.Saprospirae...o__.Saprospirales...f__Chitinophagaceae..g__Flavisolibacter..s__,V89
k__Bacteria..p__Bacteroidetes..c__Bacteroidia..o__Bacteroidales..f__.Paraprevotellaceae...g__.Prevotella...s__,V90
k__Bacteria..p__Bacteroidetes..c__Bacteroidia..o__Bacteroidales..f__.Paraprevotellaceae...g__.Prevotella...s__tannerae,V91
k__Bacteria..p__Bacteroidetes..c__Bacteroidia..o__Bacteroidales..f__Bacteroidaceae..g__Bacteroides..s__,V92
k__Bacteria..p__Bacteroidetes..c__Bacteroidia..o__Bacteroidales..f__Porphyromonadaceae..g__Paludibacter..s__,V93
