OTUID	SA118VXL	SA001V3L	SA002V1R	SA008V3R	SA009V3R	SA016V3R	SA024V3L	SA053V1R	SA055V3R	SA056V1R	SA057V1R	SA058V1L	SA064V5L	SA066V1R	SA069V3R	SA074V1R	SA076V1R	SA071VXR	SA077V1R	SA078V1R	SA081V1L	SA082V1R	SA087V1L	SA088V3L	SA094V1L	SA096V1R	SA091V1R	SA100V1L	SA101V1L	SA098V1L	SA104V1L	SA105V1L	SA106V1L	SA112V1R	SA115V1L	SA116V1L	SA120V1L	SA122V1L	SA123V1L	SA125V1L	SA126V1L	SA130V1R	SA132VXR	SA133V1R	SA135V1R	SA140V1R	SA141V1R	SA142V1L	SA143V1R	SA144V1L	SA145V1L	SA146V1L	SA147V1L	SA148V1L	SA121VXL	SA138V1R	SA114VXR	SA070V1L	SA084V1L	SA039V5L	SA109V1R	SA127V1L
New.CleanUp.ReferenceOTU58840	0	0	1	0	6	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	1	0	4	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
New.CleanUp.ReferenceOTU47646	0	0	0	0	18	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU44816	0	0	0	0	2	2	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
New.CleanUp.ReferenceOTU38867	0	0	3	0	68	62	0	0	0	2	0	111	7	0	0	0	2	0	0	0	0	0	0	0	42	0	0	0	0	11	21	0	80	1	0	0	0	3	5	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	2	0
New.CleanUp.ReferenceOTU17511	0	0	0	0	19	21	0	0	1	2	0	17	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	6	0	17	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0
New.CleanUp.ReferenceOTU27641	0	0	0	0	2	3	0	0	0	1	0	25	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	4	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
New.CleanUp.ReferenceOTU55450	0	0	0	0	9	6	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	8	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
New.CleanUp.ReferenceOTU185	0	0	0	0	6	11	0	0	0	1	0	20	3	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	6	0	19	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0
New.CleanUp.ReferenceOTU44508	0	0	0	0	9	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU70323	0	0	0	0	24	38	0	0	2	1	0	63	5	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	7	12	0	34	2	0	0	0	1	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	2	0
New.CleanUp.ReferenceOTU76251	0	0	14	0	21	22	0	0	0	11	0	1	1	0	0	0	3	0	0	0	0	0	0	0	8	1	0	0	0	18	19	0	7	2	0	0	0	4	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	1	0
945519	0	0	74	0	393	961	0	0	88	460	0	600	142	0	0	0	80	0	0	1	6	0	0	0	324	57	0	0	0	133	383	0	305	189	0	0	0	80	123	0	44	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	77	0
New.ReferenceOTU171	0	0	0	0	2	2	0	0	9	2	0	8	0	0	0	0	9	0	0	0	1	0	0	0	15	4	0	0	0	48	5	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	12	0
New.CleanUp.ReferenceOTU65652	0	0	0	0	9	6	0	0	1	0	0	29	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
New.CleanUp.ReferenceOTU6805	0	0	0	0	5	4	0	0	1	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
New.CleanUp.ReferenceOTU29855	0	0	0	0	4	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
New.CleanUp.ReferenceOTU70896	0	0	1	0	1	6	0	0	2	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
New.ReferenceOTU169	0	0	0	0	1	23	0	0	2	15	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU48146	0	0	1	0	0	3	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU63443	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU33077	0	0	0	0	1	1	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	4	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
New.CleanUp.ReferenceOTU28000	0	0	2	0	34	15	0	0	2	0	0	79	23	0	0	0	2	0	0	0	0	0	0	0	6	1	0	0	0	7	18	0	8	6	0	0	0	9	28	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	4	0
New.ReferenceOTU496	0	0	1	0	48	14	0	0	3	1	0	199	15	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	5	13	0	11	7	0	0	0	8	24	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0
New.CleanUp.ReferenceOTU28765	0	0	0	0	0	20	0	0	3	10	0	12	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0
885628	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	84	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
995149	0	0	23	0	130	181	0	0	14	25	0	522	105	0	0	0	35	0	0	0	0	0	0	0	149	9	0	0	0	37	119	0	174	88	0	0	0	37	66	0	9	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	11	0
New.ReferenceOTU46	0	0	16	0	23	108	0	0	11	30	0	22	5	0	0	0	42	0	0	0	0	0	0	0	61	6	0	0	0	4	102	0	54	34	0	0	0	1	65	0	15	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	14	0
New.CleanUp.ReferenceOTU24939	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	2	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
New.CleanUp.ReferenceOTU46470	0	0	1	0	13	7	0	0	2	11	0	11	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	13	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
New.ReferenceOTU156	0	0	0	0	5	1	0	0	5	0	0	13	158	0	0	0	2	0	0	0	0	0	0	0	2	66	0	0	0	2	6	0	1	2	0	0	0	0	1	0	86	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	0
New.ReferenceOTU508	0	0	87	0	674	585	0	0	86	48	0	1837	301	0	0	0	80	0	0	0	2	0	0	0	323	20	0	0	0	127	365	0	688	345	0	0	0	173	446	0	21	194	0	1	0	0	0	0	0	0	2	0	0	0	1	1	0	407	0	0	48	0
New.CleanUp.ReferenceOTU52742	0	0	0	0	1	2	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU37570	0	2	0	0	4	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	31	0	0	0	0	0	0	0	0	94	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0
New.CleanUp.ReferenceOTU49075	0	0	0	0	0	3	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New.CleanUp.ReferenceOTU64334	0	0	0	0	0	0	0	0	3	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
