Seed,Method,Scenario,NumRatios,EnergyF,combinedF,obsCombinedF,obsEnergyF,p
25,Feat_Selection,Scenario_X,5,4.297604463465554,14.18837754858442,19.828121434245258,4.381868108850036,0.06930693069306931
26,Feat_Selection,Scenario_X,5,5.59100150389997,17.31811007841806,19.828121434245258,4.381868108850036,0.06930693069306931
27,Feat_Selection,Scenario_X,5,4.044914111480628,13.6040662663347,19.828121434245258,4.381868108850036,0.06930693069306931
28,Feat_Selection,Scenario_X,5,4.495320760239341,14.858945283646575,19.828121434245258,4.381868108850036,0.06930693069306931
29,Feat_Selection,Scenario_X,5,4.047940824930916,8.574227710428872,19.828121434245258,4.381868108850036,0.06930693069306931
30,Feat_Selection,Scenario_X,5,4.047144406286142,14.66788292411382,19.828121434245258,4.381868108850036,0.06930693069306931
31,Feat_Selection,Scenario_X,5,3.527146506314829,19.6254556391769,19.828121434245258,4.381868108850036,0.06930693069306931
32,Feat_Selection,Scenario_X,5,4.047078319683182,10.470796167669228,19.828121434245258,4.381868108850036,0.06930693069306931
33,Feat_Selection,Scenario_X,5,3.8469388773629496,10.889665059602402,19.828121434245258,4.381868108850036,0.06930693069306931
34,Feat_Selection,Scenario_X,5,3.8758347171402643,15.657212972500318,19.828121434245258,4.381868108850036,0.06930693069306931
35,Feat_Selection,Scenario_X,5,4.230944372662547,11.119082038776238,19.828121434245258,4.381868108850036,0.06930693069306931
36,Feat_Selection,Scenario_X,5,4.295522291945484,15.626451359452853,19.828121434245258,4.381868108850036,0.06930693069306931
37,Feat_Selection,Scenario_X,5,3.9323756180794143,12.950119897280297,19.828121434245258,4.381868108850036,0.06930693069306931
38,Feat_Selection,Scenario_X,5,4.656337728218649,13.756093349151648,19.828121434245258,4.381868108850036,0.06930693069306931
39,Feat_Selection,Scenario_X,5,3.335999932212684,10.406996004068668,19.828121434245258,4.381868108850036,0.06930693069306931
40,Feat_Selection,Scenario_X,5,3.6637254687060676,12.84259855632109,19.828121434245258,4.381868108850036,0.06930693069306931
41,Feat_Selection,Scenario_X,5,4.676786480238824,14.234922408321918,19.828121434245258,4.381868108850036,0.06930693069306931
42,Feat_Selection,Scenario_X,5,3.2062553992593665,8.243344441812201,19.828121434245258,4.381868108850036,0.06930693069306931
43,Feat_Selection,Scenario_X,5,3.3639066724663436,9.10701677644133,19.828121434245258,4.381868108850036,0.06930693069306931
44,Feat_Selection,Scenario_X,4,3.994294460076508,11.008119878961661,19.828121434245258,4.381868108850036,0.06930693069306931
45,Feat_Selection,Scenario_X,5,4.5487539293058665,14.259523990503682,19.828121434245258,4.381868108850036,0.06930693069306931
46,Feat_Selection,Scenario_X,5,4.800269393996327,14.125662199059569,19.828121434245258,4.381868108850036,0.06930693069306931
47,Feat_Selection,Scenario_X,5,3.6788535562982108,10.314509688279463,19.828121434245258,4.381868108850036,0.06930693069306931
48,Feat_Selection,Scenario_X,5,3.187115556072814,6.600128925828759,19.828121434245258,4.381868108850036,0.06930693069306931
49,Feat_Selection,Scenario_X,4,7.932808918388398,16.034850647062058,19.828121434245258,4.381868108850036,0.06930693069306931
50,Feat_Selection,Scenario_X,5,3.745275046225459,13.61850122745279,19.828121434245258,4.381868108850036,0.06930693069306931
